i,t,c,sys,stage,value
Guangxi,2010,rice,single,growing,-0.5502336331148148
Guangxi,2010,rice,single,harvesting,0.7681973768604748
Guangxi,2010,rice,single,sowing,-1.5188853971622054
Guangxi,2010,soybean,single,growing,0.04909953816089224
Guangxi,2010,soybean,single,harvesting,-0.6954495268487955
Guangxi,2010,soybean,single,sowing,0.41831901285741513
Guangxi,2011,maize,spring,growing,1.477762868135752
Guangxi,2011,maize,spring,harvesting,3.641601316130913
Guangxi,2011,maize,spring,sowing,1.348235954272438
Guangxi,2011,rice,early_double,growing,2.339389549528264
Guangxi,2011,rice,early_double,harvesting,1.8034524860649497
Guangxi,2011,rice,early_double,sowing,1.348235954272438
Guangxi,2011,rice,late_double,growing,1.6289117201311238
Guangxi,2011,rice,late_double,harvesting,-1.0657416106407704
Guangxi,2011,rice,late_double,sowing,1.8034524860649497
Guangxi,2011,rice,single,growing,1.7900706884015203
Guangxi,2011,rice,single,harvesting,-2.0138498929123463
Guangxi,2011,rice,single,sowing,1.7143829631273628
Guangxi,2011,soybean,single,growing,1.705713039367983
Guangxi,2011,soybean,single,harvesting,-1.5568900250046367
Guangxi,2011,soybean,single,sowing,2.339389549528264
Guangxi,2012,maize,spring,growing,-0.4810161340371999
Guangxi,2012,maize,spring,harvesting,1.8116000479057637
Guangxi,2012,maize,spring,sowing,-0.46300175910530716
Guangxi,2012,rice,early_double,growing,0.008627795518465708
Guangxi,2012,rice,early_double,harvesting,-0.2659434151612617
Guangxi,2012,rice,early_double,sowing,-0.46300175910530716
Guangxi,2012,rice,late_double,growing,0.4708476981056863
Guangxi,2012,rice,late_double,harvesting,-0.7701626505822894
Guangxi,2012,rice,late_double,sowing,-0.2659434151612617
Guangxi,2012,rice,single,growing,0.08293031158011979
Guangxi,2012,rice,single,harvesting,-0.23415184657566207
Guangxi,2012,rice,single,sowing,-0.5330692911484523
Guangxi,2012,soybean,single,growing,0.2097587440832721
Guangxi,2012,soybean,single,harvesting,0.16422619176771053
Guangxi,2012,soybean,single,sowing,0.008627795518465708
Guangxi,2013,maize,spring,growing,0.7966267913743059
Guangxi,2013,maize,spring,harvesting,-1.1704664716943562
Guangxi,2013,maize,spring,sowing,-1.2252402619035974
Guangxi,2013,rice,early_double,growing,-0.6783395851347145
Guangxi,2013,rice,early_double,harvesting,2.6248914312637197
Guangxi,2013,rice,early_double,sowing,-1.2252402619035974
Guangxi,2013,rice,late_double,growing,-0.6160886629224888
Guangxi,2013,rice,late_double,harvesting,-0.5026568166307135
Guangxi,2013,rice,late_double,sowing,2.6248914312637197
Guangxi,2013,rice,single,growing,-0.10140568123661782
Guangxi,2013,rice,single,harvesting,0.8204986251676846
Guangxi,2013,rice,single,sowing,-0.9089670079492125
Guangxi,2013,soybean,single,growing,0.2656600248383486
Guangxi,2013,soybean,single,harvesting,0.18501634564939345
Guangxi,2013,soybean,single,sowing,-0.6783395851347145
Guangxi,2014,maize,spring,growing,-0.31875344388554816
Guangxi,2014,maize,spring,harvesting,-1.4323381632630483
Guangxi,2014,maize,spring,sowing,-1.113137660475085
Guangxi,2014,rice,early_double,growing,-0.05092924856354247
Guangxi,2014,rice,early_double,harvesting,-0.2663757458228647
Guangxi,2014,rice,early_double,sowing,-1.113137660475085
Guangxi,2014,rice,late_double,growing,-0.7999705756234732
Guangxi,2014,rice,late_double,harvesting,-0.33659285312316545
Guangxi,2014,rice,late_double,sowing,-0.2663757458228647
Guangxi,2014,rice,single,growing,-0.7332856943378881
Guangxi,2014,rice,single,harvesting,0.15099073522148374
Guangxi,2014,rice,single,sowing,-0.9094363141887581
Guangxi,2014,soybean,single,growing,-0.6341298565567812
Guangxi,2014,soybean,single,harvesting,-0.35804441564129436
Guangxi,2014,soybean,single,sowing,-0.05092924856354247
Guangxi,2015,maize,spring,growing,-1.2788199618603566
Guangxi,2015,maize,spring,harvesting,-0.6630481179972048
Guangxi,2015,maize,spring,sowing,1.63293640985502
Guangxi,2015,rice,early_double,growing,-2.846244407333816
Guangxi,2015,rice,early_double,harvesting,0.5758539234180717
Guangxi,2015,rice,early_double,sowing,1.63293640985502
Guangxi,2015,rice,late_double,growing,-1.3138467223003787
Guangxi,2015,rice,late_double,harvesting,-3.0908976942185253
Guangxi,2015,rice,late_double,sowing,0.5758539234180717
Guangxi,2015,rice,single,growing,-1.7025818793008594
Guangxi,2015,rice,single,harvesting,-1.3489915116197508
Guangxi,2015,rice,single,sowing,1.4637777990897731
Guangxi,2015,soybean,single,growing,-0.573581027005492
Guangxi,2015,soybean,single,harvesting,-2.0765754075625438
Guangxi,2015,soybean,single,sowing,-2.846244407333816
Guangxi,2016,maize,spring,growing,0.25983174887129756
Guangxi,2016,maize,spring,harvesting,-1.1027175837362964
Guangxi,2016,maize,spring,sowing,-1.0338615289660598
Guangxi,2016,rice,early_double,growing,-1.7701675518408262
Guangxi,2016,rice,early_double,harvesting,1.931424151550693
Guangxi,2016,rice,early_double,sowing,-1.0338615289660598
Guangxi,2016,rice,late_double,growing,-0.42586850863067366
Guangxi,2016,rice,late_double,harvesting,-0.8263672554709833
Guangxi,2016,rice,late_double,sowing,1.931424151550693
Guangxi,2016,rice,single,growing,-0.3064209005712896
Guangxi,2016,rice,single,harvesting,-0.23363040772151097
Guangxi,2016,rice,single,sowing,-1.784961391018305
Guangxi,2016,soybean,single,growing,0.20004776512033032
Guangxi,2016,soybean,single,harvesting,-0.5700997940859944
Guangxi,2016,soybean,single,sowing,-1.7701675518408262
Guangxi,2017,maize,spring,growing,-1.0890419297254341
Guangxi,2017,maize,spring,harvesting,-3.580165308209691
Guangxi,2017,maize,spring,sowing,-0.07136626912731886
Guangxi,2017,rice,early_double,growing,0.35278618529630235
Guangxi,2017,rice,early_double,harvesting,-1.8868004507397496
Guangxi,2017,rice,early_double,sowing,-0.07136626912731886
Guangxi,2017,rice,late_double,growing,-2.1915363058214687
Guangxi,2017,rice,late_double,harvesting,-0.4395706392079515
Guangxi,2017,rice,late_double,sowing,-1.8868004507397496
Guangxi,2017,rice,single,growing,-1.991024636870141
Guangxi,2017,rice,single,harvesting,-0.37667301006801307
Guangxi,2017,rice,single,sowing,1.1142833610552678
Guangxi,2017,soybean,single,growing,-2.239608533122612
Guangxi,2017,soybean,single,harvesting,-0.5157430590344411
Guangxi,2017,soybean,single,sowing,0.35278618529630235
Guangxi,2018,maize,spring,growing,6.037235534696412
Guangxi,2018,maize,spring,harvesting,-2.169718699002804
Guangxi,2018,maize,spring,sowing,0.3577375952982668
Guangxi,2018,rice,early_double,growing,1.4615012417633912
Guangxi,2018,rice,early_double,harvesting,0.8363969535567128
Guangxi,2018,rice,early_double,sowing,0.3577375952982668
Guangxi,2018,rice,late_double,growing,4.244235744925549
Guangxi,2018,rice,late_double,harvesting,-0.6055701614134735
Guangxi,2018,rice,late_double,sowing,0.8363969535567128
Guangxi,2018,rice,single,growing,5.158371674754905
Guangxi,2018,rice,single,harvesting,-0.6847154578904652
Guangxi,2018,rice,single,sowing,0.8362098572105211
Guangxi,2018,soybean,single,growing,5.2134667026040775
Guangxi,2018,soybean,single,harvesting,-1.23684683054068
Guangxi,2018,soybean,single,sowing,1.4615012417633912
Guangxi,2019,maize,spring,growing,-0.2881771942413657
Guangxi,2019,maize,spring,harvesting,-0.36332055995751794
Guangxi,2019,maize,spring,sowing,-2.2801951553814632
Guangxi,2019,rice,early_double,growing,-0.19276321389490847
Guangxi,2019,rice,early_double,harvesting,-0.6686907542573675
Guangxi,2019,rice,early_double,sowing,-2.2801951553814632
Guangxi,2019,rice,late_double,growing,-0.5774905790923064
Guangxi,2019,rice,late_double,harvesting,0.5197468024326011
Guangxi,2019,rice,late_double,sowing,-0.6686907542573675
Guangxi,2019,rice,single,growing,-0.03651044398865408
Guangxi,2019,rice,single,harvesting,-0.10705186011902182
Guangxi,2019,rice,single,sowing,-1.4505741406049664
Guangxi,2019,soybean,single,growing,-0.7292579228601324
