i,r,t,scenario,drought,heat,compound
Guangdong,soybean,2013,historical,-0.7753257095523983,-0.7655089134253279,-0.5677184210236195
Guangxi,maize,2013,historical,-0.5330266474078825,-0.3051941319424553,-0.3236496569230647
Guangxi,rice,2013,historical,0.22639816354642,-0.0781171079339821,0.0434778608498775
Guangxi,soybean,2013,historical,-0.0758877382156574,-0.2981921759757333,-0.0058570128226121
Guizhou,maize,2013,historical,1.309939527762306,0.132996275280881,0.2297423956869574
Guizhou,rice,2013,historical,1.3177136022935922,-0.1564646295473491,-0.1199596197417607
Guizhou,soybean,2013,historical,1.2585171872998846,0.067503828956043,0.1467661852612786
Guizhou,wheat,2013,historical,0.8673438977114613,0.7125937186066036,0.4337661000678118
Hainan,maize,2013,historical,-0.7458767398879579,-1.1336830091657346,-0.0748550436372229
Hainan,rice,2013,historical,-0.4821039097492409,-1.1126515196437916,-0.592693222026444
Hainan,soybean,2013,historical,-0.5187548492822628,-1.6591316205377835,-0.6004998212386512
Hebei,maize,2013,historical,-0.3298597480499675,-0.3135621848399642,-0.3221512609171693
Hebei,rice,2013,historical,-0.409869967856462,-0.297799177820121,-0.3198107759226896
Hebei,soybean,2013,historical,-0.2568399441217714,-0.4988980123559477,-0.4651821661941699
Hebei,wheat,2013,historical,-1.3152999345231622,-0.8080302647202856,-0.7807274537912048
Heilongjiang,maize,2013,historical,-0.9585915401172664,-0.5058480667266835,-0.5793621122973379
Heilongjiang,rice,2013,historical,-0.7815979916517378,-0.4043449516470108,-0.4402037014409781
Heilongjiang,soybean,2013,historical,-0.8339008518171059,-0.5719319872551849,-0.6318193882737346
Heilongjiang,wheat,2013,historical,-1.199146418401156,-0.5058480667266835,-0.5793621122973379
Henan,maize,2013,historical,1.6941828867490454,0.8414820365460388,0.6654279853304238
Henan,rice,2013,historical,1.6218033893863275,0.947428971004862,0.886802521943959
Henan,soybean,2013,historical,1.1972798138722591,0.5890712092198321,0.3661120680557001
Henan,wheat,2013,historical,0.8427416881500491,-0.5419916759748666,-0.0683187833103184
Hubei,maize,2013,historical,0.5016353177008095,0.6989054485936196,1.0768981966425288
Hubei,rice,2013,historical,1.3232713149541382,0.5995255053409546,1.5833409646548324
Hubei,soybean,2013,historical,-0.2961466922514518,0.5430864644114267,0.8247072132724155
Hubei,wheat,2013,historical,-0.2845972615492739,-0.0623061329624505,0.1974841814537543
Hunan,maize,2013,historical,0.966497945137263,0.5564713005572033,0.8241725487539057
Hunan,rice,2013,historical,0.8572487282823282,0.3020587820353507,0.7166716200511823
Hunan,soybean,2013,historical,0.4463567945629423,0.450990302996254,1.2744263865745145
Hunan,wheat,2013,historical,0.8752679506114408,0.504613017686533,0.0934504414396586
Inner_Mongolia,maize,2013,historical,-0.9975769599739696,-0.5100761975182261,-0.8871778781059385
Inner_Mongolia,rice,2013,historical,-0.7869167324950236,-0.448488274572536,-0.7639524371182382
Inner_Mongolia,soybean,2013,historical,-0.7525911759556739,-0.4785985382405091,-0.9265481706347396
Inner_Mongolia,wheat,2013,historical,-1.033211645520928,-0.4691473754764892,-0.8457344604452949
Jiangsu,maize,2013,historical,1.5470831529562543,0.4864166126040655,0.4476003744466306
Jiangsu,rice,2013,historical,1.5754510786267677,0.2228977807852591,-0.0357665164366701
Jiangsu,soybean,2013,historical,0.4212919757471953,0.1924246944380735,0.2863839557982204
Jiangsu,wheat,2013,historical,-0.1877121429444929,-0.4825998465002623,-0.2135985275575614
Jiangxi,maize,2013,historical,1.0460478246474805,0.3439264092769316,0.7033725682713738
Jiangxi,rice,2013,historical,0.8995310470288991,0.1672785708225117,0.3387848191735478
Jiangxi,soybean,2013,historical,1.3434753858716393,0.4789032766215585,0.5809748210906217
Jiangxi,wheat,2013,historical,-0.2548238041857362,0.1521787706206344,-0.5846245438928772
Jilin,maize,2013,historical,-1.5629786810476525,-0.3436577347077619,-0.1832658056144002
Jilin,rice,2013,historical,-1.7685449541346134,-0.3496829406488253,-0.2030044675208517
Jilin,soybean,2013,historical,-0.5710193495265624,-0.2526718259390853,0.2222756701665678
Jilin,wheat,2013,historical,-1.6393093199106237,-0.3436577347077619,-0.1832658056144002
Liaoning,maize,2013,historical,-0.9094629511886634,-0.1700694612388676,-0.085405975114093
Liaoning,rice,2013,historical,-1.4394508015075953,-0.1828627881745311,-0.1094966935899669
Liaoning,soybean,2013,historical,-0.2275123372720461,-0.467001467742263,-0.408072461810961
Liaoning,wheat,2013,historical,-0.8904686471821771,-0.1700694612388676,-0.085405975114093
Ningxia,maize,2013,historical,0.9525207958961628,0.14772909679084,-0.0344352897224944
Ningxia,rice,2013,historical,0.5239401475207323,-0.1444365783673554,-0.2609036884822538
Ningxia,soybean,2013,historical,-0.389638354166937,-0.0937312088205517,-0.1232674289330126
Ningxia,wheat,2013,historical,-0.4826098663160971,-0.086245942323719,-0.174659386471985
Qinghai,maize,2013,historical,2.480920637085233,0.0,0.0
Qinghai,soybean,2013,historical,0.2284595164952129,-0.0942979896064075,-0.0943564195120496
Qinghai,wheat,2013,historical,1.6176908083802068,0.0,0.0
Shaanxi,maize,2013,historical,-0.34088788679394,-0.086710833018713,0.2299822093710473
Shaanxi,rice,2013,historical,0.9761430909394962,-0.2195518734624712,0.0100942180210978
Shaanxi,soybean,2013,historical,-0.4055958925951525,-0.0313302999517164,0.3049719175088834
Shaanxi,wheat,2013,historical,-0.260723747605543,-0.0321664144131827,0.349908699217514
Shandong,maize,2013,historical,-0.1755303285095153,0.2262168588063084,0.123501898915207
Shandong,rice,2013,historical,0.3153796044323945,0.0059706359179086,-0.1895401014277056
Shandong,soybean,2013,historical,-0.8267801731324815,-0.0542376687601462,-0.0474510470784765
Shandong,wheat,2013,historical,-0.3856184250301187,-0.5994576564958538,-0.8238562326750442
Shanghai,maize,2013,historical,1.4408861765669057,0.4966430425765397,0.5973113768318502
Shanghai,rice,2013,historical,0.2855126382121555,-0.178114021311147,0.1590161781297411
Shanghai,soybean,2013,historical,0.9933734291016062,0.5101832054360173,0.0852782576780849
Shanghai,wheat,2013,historical,0.387699231183368,-0.3165748156198867,-0.4657036881556573
Shanxi,maize,2013,historical,-0.3864985623694546,-0.3283558468170074,-0.2178457867123741
Shanxi,rice,2013,historical,-0.4485433796615076,-0.4817128700841104,-0.4264299191262697
Shanxi,soybean,2013,historical,-0.5473799182541675,-0.2885038772690707,-0.2859530306114777
Shanxi,wheat,2013,historical,-0.3644767545633538,-0.249011821066892,-0.3906249480850665
Sichuan,maize,2013,historical,2.2386914804411497,2.472689913951085,0.0061952192908065
Sichuan,rice,2013,historical,1.4687958789424844,1.3784108429749813,-0.0413863185621766
Sichuan,soybean,2013,historical,0.4622826095085101,1.2916061855288834,-0.1021182264894269
